"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"223",3715,1,7859,1,39,42,49
"224",3760,1,7003,1,46,47,51
"225",4202,1,7675,1,47,48,52
"226",4443,1,8234,1,42,44,49
"227",4925,1,1029,1,44,46,52
"228",6864,1,4358,1,42,44,50
"229",7490,1,1689,1,44,47,54
"230",7746,1,2429,1,44,46,49
"231",8042,1,9778,1,46,48,53
"232",9133,1,2560,1,45,47,53
"233",9778,1,4820,1,44,45,50
"234",9780,1,1149,1,46,47,52
"235",9817,1,1029,1,44,45,49
"236",10055,1,122,1,44,46,52
"237",10057,1,5934,1,46,48,54
"238",10756,1,9773,1,47,48,53
"239",1,1,2766,1,47,48,53
"240",939,1,8708,1,45,48,53
"241",1149,1,5437,1,43,44,50
"242",1588,1,2560,1,46,47,52
"243",2570,1,1957,1,44,46,51
"244",2766,1,3715,1,44,46,52
"245",2799,1,1689,1,47,48,51
"246",4234,1,1957,1,46,48,52
"247",4676,1,9817,1,45,46,54
"248",5080,1,520,1,46,47,52
"249",6263,1,6698,1,48,49,57
"250",7168,1,8272,1,42,44,50
"251",7293,1,4925,1,46,47,53
"252",7644,1,999,1,47,48,54
"253",7675,1,8171,1,45,47,54
"254",8180,1,3760,1,48,49,54
"255",8596,1,4716,1,45,47,52
"256",9054,1,4874,1,46,49,53
"257",9150,1,10610,1,45,47,53
"258",9787,1,2570,1,48,49,54
"259",10439,1,4716,1,45,47,54
"260",10750,1,10386,1,44,46,51
"261",179,1,6214,1,49,50,55
"262",999,1,3936,1,44,46,52
"263",2699,1,7443,1,48,50,58
"264",3253,1,6060,1,43,45,52
"265",3681,1,9780,1,49,50,54
"266",4326,1,11000,1,46,47,52
"267",4402,1,999,1,47,49,57
"268",4460,1,8409,1,47,49,54
"269",4820,1,3715,1,42,44,51
"270",4836,1,1536,1,44,47,51
"271",5053,1,7293,1,48,49,55
"272",5099,1,1401,1,43,45,51
"273",5170,1,3109,1,47,48,53
"274",5197,1,8409,1,46,48,55
"275",6502,1,4202,1,48,49,54
"276",6620,1,999,1,47,50,55
"277",6921,1,8409,1,47,50,54
"278",8968,1,1149,1,46,48,53
"279",9123,1,7888,1,48,50,55
"280",10072,1,7003,1,46,48,54
"281",10098,1,8708,1,46,49,54
"282",10846,1,4676,1,48,50,54
"283",173,1,4836,1,47,51,56
"284",957,1,3936,1,43,46,52
"285",2182,1,1149,1,45,48,52
"286",2351,1,8171,1,46,47,52
"287",2574,1,999,1,47,49,54
"288",3313,1,6214,1,49,51,57
"289",4664,1,1401,1,44,46,52
"290",5228,1,6502,1,50,51,57
"291",5750,1,3760,1,49,50,58
"292",6747,1,9594,1,48,51,57
"293",6774,1,8968,1,50,51,55
"294",6910,1,4202,1,48,49,54
"295",7246,1,8708,1,47,50,54
"296",7443,1,6926,1,46,47,52
"297",7465,1,7168,1,46,49,53
"298",8801,1,1116,1,48,49,56
"299",10409,1,6458,1,46,49,53
"300",918,1,2182,1,49,52,57
"301",1699,1,10324,1,51,52,57
"302",2774,1,7003,1,48,50,55
"303",3751,1,5540,1,50,51,56
"304",4312,1,5099,1,47,49,56
"305",4868,1,10750,1,48,49,56
"306",5392,1,122,1,45,49,54
"307",5540,1,9817,1,47,49,55
"308",5627,1,9133,1,50,51,56
"309",6061,1,10756,1,50,51,56
"310",6142,1,7675,1,48,50,53
"311",6214,1,957,1,47,48,53
"312",6796,1,7168,1,47,50,55
"313",7016,1,6864,1,46,48,53
"314",7343,1,2766,1,47,48,54
"315",7770,1,10756,1,50,51,55
"316",8052,1,1660,1,49,52,57
"317",8423,1,5080,1,48,49,57
"318",8833,1,939,1,49,51,56
"319",9667,1,7343,1,49,50,54
"320",9775,1,999,1,46,49,54
